parameter,time
include_skfp_vsa_fingerprint,0.0005981922149658203
include_morgan_fingerprint,0.0005557537078857422
include_rdkit_fingerprint,0.003856658935546875
include_atom_pair_fingerprint,0.0004513263702392578
include_topological_torsion_fingerprint,0.00045943260192871094
include_feature_morgan_fingerprint,0.0005881786346435547
include_avalon_fingerprint,0.0022127628326416016
include_maccs_fingerprint,0.001516103744506836
include_map4_fingerprint,0.030930042266845703
include_descriptors,0.0045070648193359375
include_skfp_autocorr_fingerprint,0.0007407665252685547
include_skfp_avalon_fingerprint,0.003444671630859375
include_skfp_ecfp_fingerprint,0.0006635189056396484
include_skfp_erg_fingerprint,0.0007190704345703125
include_skfp_estate_fingerprint,0.001768350601196289
include_skfp_functional_groups_fingerprint,0.002097606658935547
include_skfp_ghose_crippen_fingerprint,0.0015077590942382812
include_skfp_klekota_roth_fingerprint,0.17838835716247559
include_skfp_laggner_fingerprint,0.014161109924316406
include_skfp_layered_fingerprint,0.003709077835083008
include_skfp_lingo_fingerprint,0.0006928443908691406
include_skfp_maccs_fingerprint,0.004144430160522461
include_skfp_map_fingerprint,0.004052877426147461
include_skfp_mhfp_fingerprint,0.005952119827270508
include_skfp_mqns_fingerprint,0.0006303787231445312
include_skfp_pattern_fingerprint,0.004614114761352539
include_skfp_pubchem_fingerprint,0.0124053955078125
include_skfp_rdkit_fingerprint,0.0056171417236328125
include_skfp_secfp_fingerprint,0.005536317825317383
include_skfp_topological_torsion_fingerprint,0.0006184577941894531
include_skfp_vsa_fingerprint,0.0008499622344970703
include_morgan_fingerprint,0.0010941028594970703
include_rdkit_fingerprint,0.019539594650268555
include_atom_pair_fingerprint,0.007004976272583008
include_topological_torsion_fingerprint,0.0007431507110595703
include_feature_morgan_fingerprint,0.0013952255249023438
include_avalon_fingerprint,0.028960466384887695
include_maccs_fingerprint,0.0048520565032958984
include_map4_fingerprint,0.06954526901245117
include_descriptors,0.05184221267700195
include_skfp_autocorr_fingerprint,0.005942344665527344
include_skfp_avalon_fingerprint,0.030455827713012695
include_skfp_ecfp_fingerprint,0.001355886459350586
include_skfp_erg_fingerprint,0.007121086120605469
include_skfp_estate_fingerprint,0.020940065383911133
include_skfp_functional_groups_fingerprint,0.0019354820251464844
include_skfp_ghose_crippen_fingerprint,0.0026574134826660156
include_skfp_klekota_roth_fingerprint,0.21436071395874023
include_skfp_laggner_fingerprint,0.028746366500854492
include_skfp_layered_fingerprint,0.0024352073669433594
include_skfp_lingo_fingerprint,0.0017325878143310547
include_skfp_maccs_fingerprint,0.005805015563964844
include_skfp_map_fingerprint,0.04402470588684082
include_skfp_mhfp_fingerprint,0.008922576904296875
include_skfp_mqns_fingerprint,0.0008268356323242188
include_skfp_pattern_fingerprint,0.012460470199584961
include_skfp_pubchem_fingerprint,0.01291203498840332
include_skfp_rdkit_fingerprint,0.018868207931518555
include_skfp_secfp_fingerprint,0.007678031921386719
include_skfp_topological_torsion_fingerprint,0.0009789466857910156
include_skfp_vsa_fingerprint,0.001482248306274414
include_morgan_fingerprint,0.0004982948303222656
include_rdkit_fingerprint,0.003626108169555664
include_atom_pair_fingerprint,0.000461578369140625
include_topological_torsion_fingerprint,0.00040531158447265625
include_feature_morgan_fingerprint,0.0006628036499023438
include_avalon_fingerprint,0.0020003318786621094
include_maccs_fingerprint,0.0015559196472167969
include_map4_fingerprint,0.029911518096923828
include_descriptors,0.00397038459777832
include_skfp_autocorr_fingerprint,0.0005292892456054688
include_skfp_avalon_fingerprint,0.003635883331298828
include_skfp_ecfp_fingerprint,0.0006244182586669922
include_skfp_erg_fingerprint,0.0007982254028320312
include_skfp_estate_fingerprint,0.0016269683837890625
include_skfp_functional_groups_fingerprint,0.0010013580322265625
include_skfp_ghose_crippen_fingerprint,0.0016300678253173828
include_skfp_klekota_roth_fingerprint,0.17656826972961426
include_skfp_laggner_fingerprint,0.015929698944091797
include_skfp_layered_fingerprint,0.004539012908935547
